Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
09/09/2020,RELIANCE,EQ,2107.1,2085,2167.8,2081.45,2163.55,2161.35,2136.84,25526055,5.4545E+15,531323,5716097,0.2239
10/09/2020,RELIANCE,EQ,2161.35,2183.1,2344.95,2175.35,2319,2314,2275.51,64751766,1.4734336314235E+16,1233053,12172158,0.188
11/09/2020,RELIANCE,EQ,2314,2312,2337.85,2287.1,2315,2319.75,2318.58,27445883,6.36354E+15,599768,6427971,0.2342
14/09/2020,RELIANCE,EQ,2319.75,2325,2360,2282,2296.25,2302.55,2323.57,20335480,4.72509E+15,450188,3578138,0.176
15/09/2020,RELIANCE,EQ,2302.55,2311.95,2325.75,2288.15,2324,2318.85,2311.23,12543161,2.89901E+15,270331,2498608,0.1992
16/09/2020,RELIANCE,EQ,2318.85,2320,2369.35,2310.55,2324.9,2324.55,2339.46,15669133,3.66574E+15,321651,3528875,0.2252
17/09/2020,RELIANCE,EQ,2324.55,2320,2333.7,2291.85,2296,2298.75,2310.29,11919991,2.75386E+15,286325,3285052,0.2756
18/09/2020,RELIANCE,EQ,2298.75,2314.25,2319.45,2276.55,2303.6,2305.7,2305.1,15264101,3.51853E+15,219641,6340779,0.4154
21/09/2020,RELIANCE,EQ,2305.7,2300,2336,2247.35,2250,2255.85,2291.38,15519433,3.5561E+15,342489,5046850,0.3252
22/09/2020,RELIANCE,EQ,2255.85,2277,2277,2201.55,2220.05,2211.15,2225.36,16056621,3.57317E+15,348897,6138633,0.3823
23/09/2020,RELIANCE,EQ,2211.15,2260,2276.75,2205.3,2228,2230.8,2242.58,19839809,4.44923E+15,384190,3749875,0.189
24/09/2020,RELIANCE,EQ,2230.8,2207.9,2226,2176.05,2195,2181.2,2200.65,13765321,3.02926E+15,328090,4092237,0.2973
25/09/2020,RELIANCE,EQ,2181.2,2189,2212.8,2167.3,2198.85,2201.7,2191.17,13095950,2.86955E+15,329859,2793738,0.2133
